Description,Library URL,Library Name,License Type,License URL
Go language library for exporting performance and runtime metrics to external metrics systems (i.e. statsite statsd),https://github.com/armon/go-metrics,armon/go-metrics,MIT,https://github.com/armon/go-metrics/blob/master/LICENSE
Golang implementation of JavaScript Object,https://github.com/dvsekhvalnov/jose2go,dvsekhvalnov/jose2go,MIT,https://github.com/dvsekhvalnov/jose2go/blob/master/LICENSE
Collection of useful handlers for Go net/http package,https://github.com/gorilla/handlers,gorilla/handlers,BSD-2,https://github.com/gorilla/handlers/blob/master/LICENSE
A powerful URL router and dispatcher for golang,https://github.com/gorilla/mux,gorilla/mux,BSD-3,https://github.com/gorilla/mux/blob/master/LICENSE
Golang connection multiplexing library,https://github.com/hashicorp/yamux/,hashicorp/yamux,Mozilla 2.0,https://github.com/hashicorp/yamux/blob/master/LICENSE
Codec - a high performance and feature-rich Idiomatic encode/decode and rpc library for msgpack and Binc,https://github.com/hashicorp/go-msgpack,hashicorp/go-msgpack,BSD-3,https://github.com/hashicorp/go-msgpack/blob/master/LICENSE
Go language implementation of the Raft consensus protocol,https://github.com/hashicorp/raft,hashicorp/raft,Mozilla 2.0,https://github.com/hashicorp/raft/blob/master/LICENSE
Raft backend implementation using BoltDB,https://github.com/hashicorp/raft-boltdb,hashicorp/raft-boltdb,Mozilla 2.0,https://github.com/hashicorp/raft-boltdb/blob/master/LICENSE
Pretty printing for Go values,https://github.com/kr/pretty,kr/pretty,MIT,https://github.com/kr/pretty/blob/master/License
Miscellaneous functions for formatting text,https://github.com/kr/text,kr/text,MIT,https://github.com/kr/text/blob/main/License
Some helpful packages for writing Go apps,https://github.com/markbates/going,markbates/going,MIT,https://github.com/markbates/going/blob/master/LICENSE.txt
Basic LDAP v3 functionality for the Go programming language,https://github.com/mark-rushakoff/ldapserver,mark-rushakoff/ldapserver,BSD-3-Clause,https://github.com/markbates/going/blob/master/LICENSE
Basic LDAP v3 functionality for the Go programming language,https://github.com/go-ldap/ldap,go-ldap/ldap,MIT,https://github.com/go-ldap/ldap/blob/master/LICENSE
ASN1 BER Encoding / Decoding Library for the GO programming language,https://github.com/go-asn1-ber/asn1-ber,go-asn1-ber/ans1-ber,MIT,https://github.com/go-asn1-ber/asn1-ber/blob/master/LICENSE
A golang registry for global request variables,https://github.com/gorilla/context,gorilla/context,BSD-3-Clause,https://github.com/gorilla/context/blob/master/LICENSE
An immutable radix tree implementation in Golang,https://github.com/hashicorp/go-immutable-radix,hashicorp/go-immutable-radix,MPL-2.0,https://github.com/hashicorp/go-immutable-radix/blob/master/LICENSE
Golang LRU cache,https://github.com/hashicorp/golang-lru,hashicorp/golang-lru,MPL-2.0,https://github.com/hashicorp/golang-lru/blob/master/LICENSE
Go Zap structured logging implementation,https://go.uber.org/zap/zapcore,zap/zapcore,MIT,https://github.com/uber-go/zap/blob/master/LICENSE.txt